SECTOR,SHELF,REEF_NAME,REEF_ID,LATITUDE,LONGITUDE,P_CODE,VISIT_NO,YEAR_CODE,REPORT_YEAR,SAMPLE_DATE,MEAN_LIVE_CORAL,MEAN_SOFT_CORAL,MEAN_DEAD_CORAL,TOTAL_COTS,MEAN_COTS_PER_TOW,TOTAL_TROUT,MEAN_TROUT_PER_TOW,TOWS
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,1,199293,1993,1993-06-11,25.758,,2.576,0,0,,,33
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,4,199596,1996,1996-01-15,29.569,,1.81,0,0,,,29
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,5,199697,1997,1997-01-29,30.043,,1.983,0,0,,,29
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,6,199798,1998,1998-02-01,37.419,16.532,2.177,3,0.097,,,31
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,7,199899,1999,1999-01-25,23.879,16.94,2.672,6,0.207,,,29
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,8,199900,2000,2000-01-28,12.857,13.839,2.054,0,0,,,28
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,10,200102,2002,2001-09-20,12.069,12.931,0.603,0,0,,,29
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,12,200304,2004,2004-01-13,16.25,16.25,2,0,0,,,30
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RAP,14,200506,2006,2005-11-24,20.75,19.25,1.083,0,0,4,0.133333333333333,30
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,15,200607,2007,2007-01-13,24.5,16.3,0.6,0,0,2,0.08,25
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RAP,16,200708,2008,2007-08-28,26.641,22.188,1.953,0,0,1,0.03125,32
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RAP,18,200910,2010,2009-11-19,37.93,15.117,2.031,0,0,0,0,32
